longitude,latitude,month,month_name
-83.388391,33.918497,8,08 August
-83.388391,33.918497,8,08 August
-86.707741,33.558524,9,09 September
-97.001947,32.525353,9,09 September
-82.370692,35.5445,9,09 September
-82.370691,35.544504,9,09 September
-96.62018,32.997491,9,09 September
-86.790428,33.411604,9,09 September
-86.790442,33.411593,9,09 September
-86.790442,33.411593,9,09 September
-86.790605,33.411479,9,09 September
-72.526846,43.132372,9,09 September
-97.69846,30.312823,9,09 September
-96.70306,32.890108,9,09 September
-97.07129,32.795778,9,09 September
-97.770944,30.463897,9,09 September
-97.667803,29.886862,9,09 September
-96.664761,32.932838,9,09 September
-96.653733,32.887767,9,09 September
-95.419722,29.0425,9,09 September
-97.770934,30.463877,9,09 September
-82.370695,35.544495,9,09 September
-82.37069,35.544517,9,09 September
-86.790632,33.411617,9,09 September
-97.601168,35.590673,9,09 September
-86.790619,33.411647,9,09 September
-72.53195,42.991767,9,09 September
-76.698689,39.148306,9,09 September
-76.651167,39.17437,9,09 September
-79.462915,43.65126,9,09 September
-96.716813,33.17876,9,09 September
-97.015981,32.311775,9,09 September
-74.866,44.982,9,09 September
-102.399395,30.144788,9,09 September
-73.13012,44.7392,9,09 September
-97.056533,32.665264,9,09 September
-64.618642,46.38926,9,09 September
-80.456098,42.576276,9,09 September
-76.388336,44.141577,9,09 September
-76.388336,44.141577,9,09 September
-99.789,29.235855,9,09 September
-87.484452,33.261845,9,09 September
-97.758536,30.417972,9,09 September
-76.822203,39.001287,9,09 September
-96.613077,32.999802,10,10 October
-97.015938,32.311812,10,10 October
-86.790497,33.411645,10,10 October
-95.419722,29.0425,10,10 October
-98.11418,30.198655,10,10 October
-82.37073,35.544474,10,10 October
-96.669027,33.054761,10,10 October
-82.370686,35.544512,10,10 October
-86.790489,33.411632,10,10 October
-76.64533,39.129577,10,10 October
-116.99645,32.849713,10,10 October
-79.057924,35.829226,10,10 October
-80.357697,43.381569,10,10 October
-76.822203,39.001287,10,10 October
-99.789,29.235855,10,10 October
-99.789,29.235855,10,10 October
-87.482273,33.265272,10,10 October
-88.296476,47.411864,10,10 October
-82.370691,35.544508,11,11 November
-95.419722,29.0425,11,11 November
-95.419722,29.0425,11,11 November
-97.703532,30.527111,11,11 November
-95.419722,29.0425,11,11 November
-95.419722,29.0425,11,11 November
-81.638706,28.344245,5,05 May
-98.123923,31.703766,6,06 June
